Timestamp,اسم المنتج,اسم المنتج بالإنجليزية,اسم الشركة الأم,سبب المقاطعة\الدليل؟,نوع المنتج,اسماء لبدائل للمنتج ده (كل بديل على سطر)
2/5/2024 17:17,اندومي,Indomie,Indofood,بديل,وجبات سريعة التحضير,
2/5/2024 19:06,تامبو,Tampo,الإتحاد الأوروبي,,حليب بودرة,
2/6/2024 0:29, جود فرانس,Good France ,Soreal,"تابع لشركة soreal الفرنسية 
https://eg.linkedin.com/company/soreal-me-na",صوصات,
2/6/2024 8:22,خمسات // Khamsat,Khamsat,Hsoub.com // حسوب.كوم,البديل,موقع عربي  يضم أكبر سوق لبيع وشراء الخدمات المصغرة,Mostaql // Khamsat
2/6/2024 8:26,Upwork // أبوورك,Upwork,Upwork Global inc.,American freelancing platform,Freelancing gig jobs,Khamsat // Mostaql // خمسات // مستقل
2/6/2024 8:28,أُريد // Ureed,Ureed,Ureed,Belongs to UAE,Ureed is a web-based platform,Khamsat // Mostaql // خمسات // مستقل
2/6/2024 15:02,بيبي جوي,BabyJoy,Unicharm,مش متأكد بس الشركة يابانية ,حفاضات أطفال,
2/6/2024 16:07,لبن ريان,Rayyan's milk,شركة الألبان المتحدة (المطرود),,مشتقات الالبان,"حليب ريان 
عصير ليمون ريان 
وهكذا 
فطائر "
2/6/2024 17:32,asus,,,,تكنولوجيا,
2/6/2024 18:20,سودوكريم,sudocrem,teva,مملوك من شركة تيفا الاسرائيلية،فشرائك لهذا المنتج يعني انك تدعم الكيان بشكل مباشر,كريم حفاضات للرضع,اي بديل محلي و اثبت اله لا يدعم من قريب ولا من بعيد
2/6/2024 19:03,تاكيز ,takis,"barcel,groupo bimbo",غير متاكد,شيبسات وجبات خفيفة,غير متاكد هل هو مقاطعة
2/6/2024 19:15,(https://iffco.com/our-products/products-and-services/impulse-foods/tiffany/)منتجات شركة تيفاني التابعة لصافولا للاغذية (شوكولاتة بريك،بسكويت شنكوز)و المنتج يباع في دول كثيرة كالسعوديةو الامارات وباقي دول الخليج.,"tiffany products ,ex.break chocolate,chunkos,","IFFCO, saudi savola foods",الشركة اماراتية الاصل هذا يدعو للشك لان الامارات طبعت مع الكيان الصهيوني ,وجبات خفيفة،بسكويت،شوكولاتة,يوجد الكثير من البدائل 
2/6/2024 19:19,بيوجلز،المنتج لا يباع في مصر ولكن يباع في السعودية و دول الخليج ,bugles,general mills,تابع لشركة جنرال ميلز الاميريكية ،وهذا موقع المنتج في امريكا:(.bugles.com) و صفحتهم في الدول العربية علي الفيس بوك:https://www.facebook.com/buglesarabia/,وجبات خفيفة,كونو(في مصر)
2/6/2024 19:55,مجموعة مشروبات كينزا في السعودية ,kinza,شركة الجميل العالمية,تعتبر منتجات كينزا من اقوى البدائل لبيبسي و كوكاكولا في السعودية,مشروب غازي,يعتبر بديل في السعودية
2/6/2024 19:56,بي كولا,Bcola,شركة محمود سعيد المحدودة,هو ليس مقاطعة ولكن هو بديل للبيبسي و كوكاكولا في السعودية,مشروب غازي,هو يعتبر بديل
2/6/2024 19:58,شوكولاتة ميرو,mero,n/a,تعتبر بديل لسنيكرز و مارس في السعودية,شوكولاتة,
2/6/2024 20:00,بيك رولز(سفن دايز) مش بيك رولز بتاعت اديتا,bake rolls,سفن دايز,بيك رولز من سفن دايز تصنع في دول الخليج بترخيص من سفن دايز لشركة المراعي,وجبة خفيفة,بيك رولز بتاعت اديتا
,,Juhayna,,,,
,,Lactasoy,,,,
,,Lactel,,,,
,,Lamar,,,,
,,Almarai,,,,
,,Nestle,,,,
,,Blue Diamond,,,,
,,Nesquik,,,,
,,Uglobe,,,,
,,Danone,,,,
,,Rainbow,,,,
,,Alpro,,,,
,,Bonny,,,,
,,Bekhero,,,,
,,Dano,,,,
,,Riso Scotti,,,,
,,Zumra,,,,
,,Rude Health,,,,
,,Twix,,,,
,,M&M's,,,,
,,Snickers,,,,
,,Borges,,,,
,,Ganna,,,,
,,Sherraton,,,,
,,Fern,,,,
,,Rawaby,,,,
,,Mars,,,,
,,Hajdu,,,,
,,Pinar,,,,
,,El Khair,,,,
,,Egyptian Growers,,,,
,,Al Waha,,,,
,,Organic,,,,
,,Domty,,,,
,,Lychee,,,,
,,Danette,,,,
,,Kiri,,,,
,,Dina Farms,,,,
,,President,,,,
,,Healthy,,,,
